"Farm product prices, crops and livestock 1"
"Frequency: Monthly"
"Table: 32-10-0077-01 (formerly CANSIM 002-0043)"
"Release date: 2026-03-10"
"Geography: Province or territory"
""
""

"Geography","Farm products 2","January 2000","February 2000","March 2000","April 2000","May 2000","June 2000","July 2000","August 2000","September 2000","October 2000","November 2000","December 2000","January 2001","February 2001","March 2001","April 2001","May 2001","June 2001","July 2001","August 2001","September 2001","October 2001","November 2001","December 2001","January 2002","February 2002","March 2002","April 2002","May 2002","June 2002","July 2002","August 2002","September 2002","October 2002","November 2002","December 2002","January 2003","February 2003","March 2003","April 2003","May 2003","June 2003","July 2003","August 2003","September 2003","October 2003","November 2003","December 2003","January 2004","February 2004","March 2004","April 2004","May 2004","June 2004","July 2004","August 2004","September 2004","October 2004","November 2004","December 2004","January 2005","February 2005","March 2005","April 2005","May 2005","June 2005","July 2005","August 2005","September 2005","October 2005","November 2005","December 2005","January 2006","February 2006","March 2006","April 2006","May 2006","June 2006","July 2006","August 2006","September 2006","October 2006","November 2006","December 2006","January 2007","February 2007","March 2007","April 2007","May 2007","June 2007","July 2007","August 2007","September 2007","October 2007","November 2007","December 2007","January 2008","February 2008","March 2008","April 2008","May 2008","June 2008","July 2008","August 2008","September 2008","October 2008","November 2008","December 2008","January 2009","February 2009","March 2009","April 2009","May 2009","June 2009","July 2009","August 2009","September 2009","October 2009","November 2009","December 2009","January 2010","February 2010","March 2010","April 2010","May 2010","June 2010","July 2010","August 2010","September 2010","October 2010","November 2010","December 2010","January 2011","February 2011","March 2011","April 2011","May 2011","June 2011","July 2011","August 2011","September 2011","October 2011","November 2011","December 2011","January 2012","February 2012","March 2012","April 2012","May 2012","June 2012","July 2012","August 2012","September 2012","October 2012","November 2012","December 2012","January 2013","February 2013","March 2013","April 2013","May 2013","June 2013","July 2013","August 2013","September 2013","October 2013","November 2013","December 2013","January 2014","February 2014","March 2014","April 2014","May 2014","June 2014","July 2014","August 2014","September 2014","October 2014","November 2014","December 2014","January 2015","February 2015","March 2015","April 2015","May 2015","June 2015","July 2015","August 2015","September 2015","October 2015","November 2015","December 2015","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021","October 2021","November 2021","December 2021","January 2022","February 2022","March 2022","April 2022","May 2022","June 2022","July 2022","August 2022","September 2022","October 2022","November 2022","December 2022","January 2023","February 2023","March 2023","April 2023","May 2023","June 2023","July 2023","August 2023","September 2023","October 2023","November 2023","December 2023","January 2024","February 2024","March 2024","April 2024","May 2024","June 2024","July 2024","August 2024","September 2024","October 2024","November 2024","December 2024","January 2025","February 2025","March 2025","April 2025","May 2025","June 2025","July 2025","August 2025","September 2025","October 2025","November 2025","December 2025","January 2026"
,"Barley 3 4","105.30","103.26","102.22","104.96","105.55","101.87","103.61","89.14","92.76","88.13","113.66","117.41","129.03","135.92","132.93","138.52","146.62","136.97","125.17","127.14","134.86","139.71","139.51","135.48","136.85","139.24","134.97","136.23","128.76","127.76","121.51","133.99","136.55","151.92","151.22","152.33","154.47","154.20","146.64","157.00","154.74","151.34","142.02","115.31","118.31","130.35","129.54","138.17","144.76","144.86","145.31","146.76","154.07","146.08","132.96","119.12","113.55","120.85","124.91","122.58","129.52","128.96","120.16","116.57","106.04","106.96","93.97","88.58","91.03","98.06","105.21","118.91","120.85","116.67","118.12","112.25","115.92","100.45","97.59","85.41","101.95","107.70","133.93","147.06","142.85","148.82","155.39","154.40","158.38","164.64","160.45","163.10","165.56","188.37","188.21","196.89","205.92","201.20","202.51","225.04","207.81","229.01","215.63","184.80","193.07","180.87","213.45","200.91","198.77","201.15","201.58","196.60","198.96","194.07","172.98","154.55","148.35","139.87","170.75","156.44","158.91","154.25","157.22","130.52","135.00","131.29","125.65","112.75","137.58","141.62","164.09","147.21","187.83","181.20","181.37","203.77","214.04","235.40","251.74","230.87","237.26","237.23","254.02","265.20","265.30","263.45","265.81","262.67","268.13","263.01","258.26","259.07","260.34","261.17","258.00","270.41","264.63","256.75","257.74","239.08","240.28","232.27","215.29","163.40","179.49","180.10","187.25","191.19","200.41","204.43","205.88","208.31","205.04","203.92","193.56","169.79","173.97","167.46","175.63","182.92","184.95","172.38","188.12","180.59","178.42","179.36","175.34","169.72","167.26","184.88","203.43","192.38","189.39","191.11","198.35","186.86","185.22","179.08","180.24","169.30","180.37","194.45","189.97","184.37","193.50","213.53","202.84","202.62","199.28","200.05","218.20","193.83","194.23","206.42","213.47","224.06","220.67","243.55","243.08","244.52","246.72","244.57","259.92","215.72","218.55","236.99","256.71","241.30","244.80","259.73","255.84","247.29","259.13","257.88","264.09","234.65","237.42","244.25","257.89","237.15","257.37","267.69","256.31","258.98","255.56","236.74","230.85","214.80","209.85","211.50","240.55","240.18","254.84","262.76","244.60","261.71","269.43","282.26","296.32","287.48","302.93","314.34","345.22","330.82","385.56","370.42","369.39","370.41","387.03","390.00","371.63","342.30","336.57","343.20","384.23","370.44","371.22","359.13","374.82","347.04","364.89","360.99","308.46","299.92","283.27","304.59","337.41","327.08","314.98","316.08","334.37","308.00","324.81","289.74","271.41","238.33","246.15","290.31","291.43","237.42","256.05","259.25","250.48","244.23","250.56","242.29","258.59","239.30","244.11","244.41","260.67","250.26","257.57"
,"Soybeans","255.18","260.46","267.89","276.52","282.91","267.31","251.34","250.42","260.43","258.66","260.80","269.33","264.20","250.13","252.27","249.01","249.55","256.52","268.93","274.35","268.36","260.57","258.74","254.85","260.14","260.02","265.97","271.32","274.21","280.74","304.64","312.24","299.86","298.60","312.61","317.45","316.76","316.72","313.93","327.00","325.46","317.05","309.34","303.91","317.95","327.15","342.79","353.48","361.62","391.86","430.22","440.80","458.86","439.04","418.81","374.65","328.64","322.66","285.52","254.92","276.32","246.71","270.92","277.15","288.15","292.19","293.69","277.88","278.13","272.36","256.52","257.13","262.87","243.27","237.68","237.25","232.05","227.19","233.03","210.22","208.66","226.82","249.00","252.72","263.38","286.28","288.26","282.41","282.12","291.84","298.94","302.66","316.73","313.95","330.14","364.15","379.18","428.52","433.26","447.02","459.83","497.20","487.45","498.44","416.25","400.09","392.52","388.53","413.78","418.50","407.53","428.86","457.36","472.97","467.00","456.76","413.80","384.23","386.77","389.05","385.28","376.44","359.24","365.30","365.03","365.07","374.62","381.44","366.16","377.52","401.25","429.37","427.61","454.24","450.52","457.58","463.02","465.52","463.22","481.56","463.58","428.71","424.62","416.21","432.73","444.58","466.52","487.66","497.12","500.38","539.97","579.44","499.47","501.22","506.74","514.43","511.19","528.22","534.99","531.32","551.25","561.14","577.66","562.92","491.63","473.76","486.76","504.84","502.51","529.41","549.40","559.39","567.52","576.03","536.08","525.30","467.34","431.57","432.39","437.37","439.20","447.79","444.44","441.40","430.47","441.80","457.66","455.96","425.22","421.41","420.24","428.01","435.31","439.41","439.94","446.72","468.38","492.41","488.12","488.28","460.91","458.08","472.50","484.17","482.27","493.06","495.16","485.27","480.97","473.32","470.57","462.65","450.67","452.40","453.68","454.97","449.85","455.04","473.85","475.05","481.87","472.64","464.01","443.61","448.76","448.51","443.44","442.48","443.23","439.39","439.93","437.03","412.13","428.36","432.76","425.04","422.81","431.22","431.09","431.77","438.81","440.42","446.25","450.22","450.12","446.87","453.64","453.02","460.44","472.46","499.00","513.37","527.13","573.63","585.89","604.53","619.16","614.80","618.98","639.55","544.02","543.44","561.54","585.80","605.78","686.21","698.87","721.14","746.79","745.51","748.20","743.91","663.73","664.52","700.26","715.60","714.42","748.66","750.91","748.09","721.32","722.01","722.91","715.32","659.91","634.46","644.58","642.33","623.49","594.92","586.37","594.27","598.36","602.15","590.58","553.92","526.16","503.26","497.15","506.19","515.35","532.09","525.00","532.55","525.76","530.87","534.24","531.20","515.12","512.56","552.58","545.07","530.76"
,"Canola (including rapeseed)","248.22","243.44","232.70","250.21","258.09","228.48","222.76","235.83","252.14","243.74","244.06","243.13","236.50","235.14","245.92","257.18","248.57","271.58","280.78","319.07","320.78","315.85","337.35","334.81","337.28","335.40","327.81","318.00","319.00","334.79","371.28","386.71","389.97","399.06","425.22","405.08","393.57","379.29","340.18","451.18","343.56","326.03","333.18","344.08","344.10","353.67","354.71","346.66","367.44","367.14","390.29","402.72","402.72","392.53","374.05","394.65","374.16","358.00","327.92","286.32","303.97","257.58","287.51","278.58","283.67","296.00","295.91","273.80","167.03","102.47","147.54","179.36","225.90","203.98","251.69","229.08","233.23","250.11","290.73","288.02","291.07","268.44","287.23","315.10","309.71","303.65","338.17","332.80","340.81","321.52","389.57","395.66","389.93","385.62","394.29","435.42","458.90","524.76","557.00","549.49","546.00","562.23","535.86","528.28","508.14","501.44","471.43","465.80","471.22","378.68","373.62","396.45","426.37","443.57","427.72","443.71","432.28","412.82","406.00","408.29","404.64","382.31","382.80","362.84","377.85","391.77","414.28","435.48","433.71","446.44","460.87","487.71","492.20","534.89","544.44","558.91","525.00","555.00","533.33","532.97","535.76","513.68","514.26","510.58","519.83","538.41","549.03","562.49","586.74","593.50","588.42","590.52","578.04","565.88","541.62","569.50","588.66","619.37","606.64","630.24","640.89","617.80","645.46","556.67","550.00","514.92","497.97","474.20","467.41","446.62","458.55","473.37","514.53","479.54","463.43","479.17","451.68","444.76","460.49","472.01","487.02","492.21","490.82","481.37","468.55","478.67","488.78","494.97","518.38","486.37","483.55","491.40","494.35","496.06","473.89","490.61","492.78","513.91","541.48","500.02","495.62","491.22","516.94","510.72","523.99","525.02","537.20","544.00","508.93","528.15","526.85","517.20","510.21","502.25","510.74","505.67","512.00","505.02","527.91","531.26","531.91","516.17","523.43","510.48","495.46","489.00","488.00","466.01","477.85","479.38","486.72","458.50","504.13","441.57","456.64","449.19","447.25","450.00","440.67","453.27","453.00","462.00","453.00","451.14","451.32","440.33","482.69","484.52","486.87","495.70","482.20","514.73","556.73","567.69","671.09","718.07","775.64","781.00","731.60","836.00","713.31","729.00","906.00","992.04","830.10","851.16","819.00","1,038.18","1,113.00","1,004.72","775.58","813.00","800.00","801.52","850.88","804.08","884.98","833.33","814.43","788.49","708.51","724.20","785.07","771.04","722.52","758.34","725.84","708.30","654.67","643.58","580.25","604.59","600.49","572.00","643.16","600.30","575.54","575.29","572.80","598.08","615.39","575.51","609.00","589.85","612.12","643.27","656.78","684.00","609.33","597.23","590.22","636.76","564.28"
,,"Dollars per hundredweight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cattle for slaughter 5","94.65","94.39","97.42","102.68","100.65","99.09","98.42","96.41","93.43","92.06","95.88","100.92","107.53","111.39","115.53","117.17","114.16","112.78","109.91","105.37","101.30","93.99","96.99","98.65","103.59","110.07","109.37","104.22","102.11","97.60","96.26","97.07","93.60","93.41","98.01","101.57","111.24","106.92","101.70","107.07","98.82","78.55","41.37","45.90","65.34","70.39","81.06","80.80","76.92","69.72","76.04","75.69","74.51","69.71","68.53","63.06","68.19","66.63","65.73","68.20","76.98","79.75","75.38","75.10","76.00","76.70","82.61","83.95","83.43","87.56","82.80","84.68","85.26","82.02","80.95","80.60","81.73","84.34","84.44","84.01","82.64","79.69","77.54","76.43","79.36","85.23","91.83","95.20","97.58","89.89","86.85","80.27","78.24","69.20","66.69","70.62","72.50","77.22","77.24","80.20","82.15","87.48","91.08","92.69","91.40","86.72","92.25","92.42","93.62","91.25","93.68","95.12","94.66","89.54","88.49","82.81","78.65","73.77","75.20","76.36","79.77","80.94","82.50","86.58","89.00","88.48","89.50","88.09","87.80","86.98","85.80","90.64","93.31","97.44","100.20","104.15","100.83","102.16","100.84","99.78","99.28","100.74","105.12","107.77","110.29","108.68","109.84","104.36","107.43","107.39","101.09","101.78","100.60","102.03","99.97","100.65","103.47","105.97","105.84","106.59","112.60","116.02","114.61","114.33","111.75","110.85","110.82","111.08","125.67","132.09","138.12","137.91","143.07","149.44","156.29","154.78","150.33","156.84","161.45","163.06","171.55","178.42","184.42","188.50","185.47","182.67","180.97","176.07","166.24","151.14","147.07","143.76","161.66","158.03","155.85","142.98","144.66","142.35","140.42","132.27","118.84","114.72","116.23","122.63","129.75","131.74","141.72","144.17","155.11","155.73","141.02","128.88","114.00","119.21","121.58","122.03","126.64","130.57","132.83","127.10","128.93","129.24","125.10","121.33","119.03","117.83","111.93","107.92","123.63","125.43","119.36","129.00","132.11","130.47","129.27","125.27","119.26","118.00","115.70","119.90","134.59","137.03","130.66","128.71","137.01","144.26","133.67","131.55","128.02","120.56","120.85","113.71","126.53","128.96","129.51","134.08","137.73","146.38","142.84","141.02","140.94","140.11","138.39","141.50","151.83","153.15","157.55","159.55","165.54","173.49","170.20","168.56","167.33","165.76","166.31","166.03","171.12","178.14","190.77","200.30","207.64","220.84","213.58","210.12","213.43","212.07","210.44","199.67","204.31","215.63","219.98","222.45","225.98","216.91","236.26","236.61","228.95","226.58","226.14","229.84","246.32","261.65","249.77","266.94","276.21","291.26","293.40","297.29","300.32","290.71","282.05","274.10","287.85"
,"Hogs 6","62.39","70.08","73.39","82.47","86.88","84.03","85.89","80.14","74.43","73.89","66.68","69.60","64.26","70.52","84.97","87.31","91.75","96.51","96.21","94.60","82.14","74.88","68.64","63.37","70.06","78.19","73.00","62.38","62.38","65.76","73.85","69.54","50.35","57.05","53.70","58.07","57.85","65.57","64.17","63.63","68.92","76.67","73.23","67.49","62.73","58.36","51.16","52.61","54.20","67.72","74.96","74.47","89.92","93.30","88.96","84.13","77.85","73.99","66.75","69.65","74.81","75.78","73.37","72.88","80.61","72.40","69.50","71.92","69.02","66.61","61.78","59.85","57.00","56.51","59.46","55.53","63.38","69.76","70.25","69.27","68.29","63.38","61.42","60.93","61.57","67.02","65.04","64.54","70.99","73.46","65.53","67.02","58.59","49.67","42.73","45.21","42.24","48.68","47.69","50.67","67.52","67.44","67.64","78.59","71.38","68.00","59.42","58.38","59.93","63.10","63.70","62.54","60.04","56.23","56.57","47.97","47.68","46.79","50.04","55.56","60.90","62.13","63.26","68.26","78.62","73.47","73.15","76.75","76.57","66.76","58.21","64.41","68.24","75.79","77.36","82.62","83.35","85.45","86.95","94.69","84.64","89.28","83.93","81.89","79.88","81.18","80.25","76.42","75.89","87.06","92.54","86.20","69.78","74.98","76.48","75.73","77.69","81.56","74.14","75.82","83.69","94.24","99.36","97.18","92.06","90.21","85.21","81.07","81.24","87.77","109.92","127.88","114.67","116.09","129.15","120.77","101.45","110.16","93.08","89.94","82.71","77.83","72.79","68.27","82.89","91.50","89.57","93.51","91.73","89.88","80.36","72.24","76.53","85.50","84.10","83.32","92.03","98.34","98.82","85.72","80.02","70.71","67.55","71.53","80.63","91.35","91.65","81.83","90.12","103.60","109.95","101.23","80.92","73.66","82.65","80.57","82.75","86.06","81.09","69.99","78.01","92.55","96.98","78.40","69.09","84.97","79.87","75.67","76.63","74.31","77.90","103.30","108.66","102.08","88.00","99.33","81.11","80.30","84.18","83.93","82.93","81.01","80.29","76.94","92.18","83.48","77.19","80.27","90.56","106.59","96.99","86.37","83.63","91.21","104.11","117.27","119.44","125.76","122.91","124.99","110.99","104.17","91.20","87.74","91.46","104.41","113.81","114.85","115.07","121.12","129.27","137.79","118.38","118.20","112.70","102.22","92.79","97.97","98.93","93.73","96.09","101.82","121.40","126.41","111.98","105.71","101.27","93.46","96.06","100.61","104.78","112.74","114.42","116.00","112.56","117.19","108.41","108.19","114.71","109.82","109.62","113.47","116.63","111.55","115.59","126.61","133.40","137.75","132.32","126.54","116.66","109.06","110.60"
"Manitoba",,"Dollars per metric tonne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Non-board wheat (except durum wheat) (Terminated)","85.34","83.90","86.99","86.41","90.97","89.64","89.07","95.23","91.39","91.03","93.95","99.48","99.09","102.10","94.82","101.71","99.76","96.71","99.32","106.35","108.99","123.13","124.74","123.85","137.61","137.12","138.49","146.97","147.53","138.29","138.74","132.02","137.49","135.68","147.12","157.01","165.68","155.34","156.33","148.44","143.45","142.37","132.25","117.32","121.72","122.66","128.65","127.29","129.87","131.37","135.39","143.55","152.22","151.00","151.52","134.87","112.65","92.31","86.74","81.65","83.01","83.09","80.33","80.11","79.80","85.78","86.63","84.18","90.35","90.45","98.67","114.11","109.80","115.81","108.22","110.00","112.00","114.73","115.64","116.47","124.05","137.05","141.54","146.64","153.47","164.62","161.13","161.13","162.42","163.73","158.55","152.67","152.94","167.96","158.57","187.27","202.91","222.72","249.71","272.26","296.67","296.05","302.59","243.75","182.39","184.36","178.84","182.44","167.13","171.35","165.72","161.63","159.12","158.22","157.85","153.09","142.54","134.29","135.85","144.54","144.71","157.34","137.81","138.04","144.06","133.54","135.67","133.28","148.84","139.49","148.35","157.73","171.58","191.43","195.41","198.37","209.76","218.16","210.51","212.71","218.25","223.46","226.95","225.90","213.37","231.63","237.20","238.21","248.76","245.13","202.59","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
,"Oats","95.98","91.40","94.88","96.24","88.11","72.72","88.27","86.93","83.50","90.59","85.46","96.92","94.51","87.91","97.93","92.90","94.24","98.65","120.29","124.47","129.63","163.59","169.28","190.22","190.95","223.38","211.09","189.67","196.31","207.07","195.86","153.79","159.24","166.43","168.32","175.00","200.23","197.59","198.38","172.24","152.68","137.69","116.96","125.79","124.28","121.30","121.68","122.54","127.86","126.56","133.95","136.57","138.31","142.00","127.57","125.09","142.87","131.42","135.76","132.60","132.17","130.24","131.91","129.11","127.44","128.61","127.00","122.28","119.52","120.14","127.79","134.42","135.00","133.00","130.51","133.76","140.55","134.02","135.08","125.30","126.76","138.01","160.04","172.90","180.19","184.60","192.21","195.56","192.38","200.92","185.56","158.54","159.26","159.86","159.42","167.49","178.02","192.74","201.49","211.19","216.33","229.30","232.90","216.74","210.33","200.95","186.31","211.66","186.63","140.32","143.42","135.50","141.60","146.35","143.25","163.14","171.64","154.72","162.96","158.20","156.24","142.74","144.73","116.68","122.54","137.39","158.10","165.70","177.69","180.82","197.43","214.67","218.74","225.86","222.82","230.02","227.23","229.92","219.58","208.73","205.16","206.77","204.55","206.11","203.70","205.26","202.33","205.61","205.85","205.11","218.88","219.99","217.25","228.82","234.85","239.20","236.25","247.61","251.56","255.54","258.64","263.11","249.84","226.60","214.53","208.36","210.53","209.97","210.08","202.92","198.44","195.17","203.74","203.79","210.98","207.36","207.28","207.62","209.12","211.41","213.92","209.26","203.03","208.11","192.33","197.68","200.44","198.20","196.41","195.95","197.75","200.91","198.12","200.58","197.82","188.80","194.53","187.56","183.76","192.42","195.44","196.12","207.34","208.97","211.30","207.59","205.23","207.15","204.70","207.34","199.47","204.29","203.20","201.79","207.47","204.47","210.88","206.57","205.71","184.56","196.00","200.98","195.36","203.63","202.49","211.28","221.12","230.85","227.15","226.77","233.64","241.30","245.05","249.43","243.80","214.44","212.68","220.43","229.95","236.43","240.81","243.66","240.50","248.86","256.90","264.95","264.53","216.87","216.28","218.87","221.60","231.13","243.73","250.98","260.39","263.37","277.29","276.51","276.49","255.68","285.05","315.48","417.69","422.95","451.71","515.70","573.59","612.66","595.29","625.28","583.80","491.99","395.98","392.83","391.18","379.90","357.27","322.56","316.58","289.07","296.88","283.33","295.48","318.65","339.24","342.31","348.48","347.49","356.85","344.72","333.99","326.03","323.22","319.86","306.54","303.50","300.27","303.82","303.17","310.96","316.21","316.48","317.65","310.75","304.02","308.19","299.45","290.23","288.50","289.73","275.91","272.29","282.70"
,"Barley 3 4","73.90","75.55","77.05","75.35","71.47","75.44","73.42","73.65","72.42","80.47","88.96","91.38","83.18","86.41","91.78","92.55","96.38","98.28","111.32","113.02","116.29","115.59","121.67","121.36","127.30","126.28","125.56","112.68","122.14","126.50","143.75","151.43","153.52","154.44","161.30","159.39","151.39","150.49","149.82","142.64","122.09","119.98","116.66","102.37","100.03","100.18","101.23","103.99","104.72","103.33","106.29","116.99","122.85","125.39","116.90","97.94","86.68","85.46","83.21","84.02","84.50","80.27","80.61","78.90","85.44","77.13","78.66","75.15","72.07","81.95","85.22","90.53","91.40","85.88","80.33","87.92","86.63","85.99","79.99","78.55","90.15","110.23","123.98","132.92","133.85","138.88","145.21","147.13","148.66","152.73","153.35","134.51","154.92","153.88","157.22","168.63","176.05","178.59","183.45","204.08","201.05","204.40","215.70","193.51","168.91","174.36","146.55","136.56","139.67","133.20","127.39","125.65","127.45","133.28","131.53","124.68","113.12","110.56","113.52","115.36","115.91","115.55","112.69","110.22","110.25","107.89","113.33","119.71","126.59","141.58","152.06","151.52","162.21","173.90","176.65","185.84","188.52","189.94","190.90","187.62","200.44","197.56","206.53","200.62","207.33","204.79","208.83","210.59","227.84","220.89","229.64","221.45","228.12","233.64","236.43","239.33","265.58","245.33","251.56","250.17","243.82","247.50","235.26","193.57","183.28","163.11","158.09","161.26","172.60","148.00","137.95","182.08","179.25","152.75","168.70","154.75","140.02","135.61","153.87","167.74","171.95","186.85","193.54","174.56","181.45","169.06","191.35","205.67","207.04","168.27","209.78","248.68","229.25","201.99","189.39","205.85","172.53","178.35","183.36","205.44","210.80","139.78","176.85","140.00","176.03","182.02","141.47","180.61","180.97","177.81","168.75","156.23","149.68","195.98","206.33","185.22","201.36","196.62","200.79","204.89","211.03","216.81","226.48","215.01","201.97","221.40","209.54","232.85","238.28","241.48","244.74","237.21","214.29","259.09","223.54","183.38","215.11","224.80","228.81","227.42","229.52","233.76","178.83","225.30","216.25","211.61","217.56","210.26","209.61","223.80","215.30","229.07","223.29","229.10","238.93","256.11","260.99","254.94","260.01","254.86","241.40","280.14","275.16","300.30","382.30","348.69","364.10","371.46","377.34","384.89","381.56","322.44","347.07","338.32","367.96","361.92","357.19","368.05","363.67","379.91","384.84","364.91","367.32","358.62","311.56","311.28","318.22","304.39","304.32","295.59","276.45","265.36","294.10","265.22","270.63","256.29","251.38","243.30","256.08","236.87","242.07","251.82","254.35","262.68","287.62","285.06","260.45","245.05","240.03","249.06","251.72","236.86","235.53"
,"Soybeans","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","344.76","332.21","322.52","314.05","313.60","316.52","323.22","289.31","343.94","340.12","368.73","404.32","416.04","463.06","457.86","451.70","449.54","440.94","431.96","437.22","416.47","412.86","409.53","396.95","403.04","409.81","432.60","454.82","478.27","480.72","517.75","532.40","500.71","502.06","507.93","504.93","497.67","501.53","499.48","..","497.32","509.04","508.65","450.56","448.64","444.90","441.97","439.26","438.81","438.50","434.27","452.07","470.91","497.70","475.86","392.52","324.80","339.14","356.64","359.51","369.53","371.79","369.00","365.75","366.94","361.61","375.23","367.21","369.32","370.83","372.05","375.02","389.61","397.57","382.28","386.91","411.41","446.04","436.60","417.22","409.13","414.37","423.29","429.43","429.45","429.23","426.45","426.61","417.84","407.68","402.20","394.01","397.89","397.23","401.82","397.12","392.15","389.00","396.09","405.20","408.85","410.12","393.19","392.80","407.74","409.04","408.20","403.46","397.83","390.37","372.76","371.87","362.77","365.37","368.47","364.59","364.49","368.89","370.35","373.29","375.48","371.71","370.32","375.68","373.49","375.02","373.39","366.58","396.79","402.61","414.91","440.05","463.18","505.59","539.72","554.40","579.63","554.03","525.03","543.61","498.23","510.08","534.01","531.64","575.40","616.91","659.70","701.55","679.11","718.88","675.72","642.24","643.89","645.87","686.22","702.02","721.42","712.56","699.16","703.39","658.06","614.91","589.24","577.57","612.03","602.70","600.79","596.47","584.52","532.04","509.10","511.26","510.61","497.85","467.64","408.03","440.19","442.11","440.76","439.78","441.28","442.84","443.35","442.59","444.69","442.45","428.04","417.07","437.82","438.88","454.54","474.30","484.85"
